"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"Lovingston","VA","Charlottesville","Nelson",12966,1256,0.00641025641025641,-0.0110236220472441,-0.040488922841864,690
2015-08-31,"Conneaut Lakeshore","PA","Meadville","Crawford",12967,1171,0.0103537532355479,0.0103537532355479,0.0381205673758865,820
2015-08-31,"Evansville","WY","Casper","Natrona",12968,1400,0.0152284263959391,-0.0371389270976616,-0.0147783251231527,517
2015-08-31,"Grand Coulee","WA","Moses Lake","Grant",12969,939,-0.0146904512067156,0.0284775465498357,-0.0581745235707121,1241
2015-08-31,"Spring Grove","MN","La Crosse","Houston",12970,1068,-0.00558659217877095,-0.0498220640569395,-0.057369814651368,675
2015-08-31,"Heflin","AL",,"Cleburne",12971,932,0.00756756756756757,0.0219298245614035,0.0602957906712173,761
2015-08-31,"Crescent","IA","Omaha","Pottawattamie",12972,1188,-0.0246305418719212,-0.00668896321070234,-0.0286181520850368,720
2015-08-31,"Taylors Falls","MN","Minneapolis-St Paul","Chisago",12973,1318,0.00841622035195103,0.0224980605120248,0.0224980605120248,620
2015-08-31,"Isle of Hope","GA","Savannah","Chatham",12974,1634,-0.00849514563106796,-0.00244200244200244,0.0454254638515675,1065
2015-08-31,"Senoia","GA","Atlanta","Coweta",12975,1448,0.00277008310249307,0.0168539325842697,0.0577063550036523,1592
2015-08-31,"Monette","AR","Jonesboro","Craighead",12976,801,-0.0111111111111111,-0.0183823529411765,0.106353591160221,549
2015-08-31,"Naples","UT","Vernal","Uintah",12977,1220,-0.0145395799676898,-0.0355731225296443,0.00246507806080526,651
2015-08-31,"Preston","MN",,"Fillmore",12978,1179,0.00425894378194208,-0.0109060402684564,0.0181347150259067,991
2015-08-31,"Oakland","IL","Charleston","Coles",12979,1198,-0.00498338870431894,-0.0164203612479475,0.0033500837520938,698
2015-08-31,"Willis","TX","Houston","Montgomery",12980,1120,0.00538599640933573,0.00991884580703336,-0.013215859030837,882
2015-08-31,"Maryland","NY","Oneonta","Otsego",12981,1439,-0.0164046479835954,0.0140944326990839,-0.0170765027322404,491
2015-08-31,"Finlayson","MN",,"Pine",12982,1316,0.00688599846977812,0.0225330225330225,0.00458015267175573,992
2015-08-31,"Caddo","OK",,"Atoka",12983,858,0.0153846153846154,0.0501835985312118,0.0450669914738124,501
2015-08-31,"Gibson City","IL","Champaign-Urbana","Ford",12984,1158,0.00173010380622837,-0.0119453924914676,0.0479638009049774,1242
2015-08-31,"Honor","MI","Traverse City","Benzie",12985,1125,0.0255241567912489,0.0806916426512968,0.132930513595166,651
2015-08-31,"Plainfield","CT","Willimantic","Windham",12986,1232,0.00325732899022801,0.0114942528735632,-0.0442203258339798,491
2015-08-31,"Valley","WA",,"Stevens",12987,1027,0.0118226600985222,0.0405268490374873,0.0029296875,891
2015-08-31,"Camden","IN","Lafayette","Carroll",12988,891,0,-0.00112107623318386,0.0102040816326531,515
2015-08-31,"Belt","MT","Great Falls","Cascade",12989,1070,0.0288461538461538,0.0625620655412115,0.188888888888889,620
2015-08-31,"Bois D Arc","MO","Springfield","Greene",12990,828,0.00120918984280532,0.0197044334975369,0.0285714285714286,425
2015-08-31,"Big Island","VA","Lynchburg","Bedford",12991,1050,-0.036697247706422,-0.0084985835694051,-0.0437158469945355,472
2015-08-31,"Arma","KS","Pittsburg","Crawford",12992,774,0.00129366106080207,0.0197628458498024,-0.0114942528735632,762
2015-08-31,"Correctionville","IA","Sioux City","Woodbury",12993,919,-0.00969827586206897,-0.00217155266015201,0.0325842696629213,592
2015-08-31,"Manning","SC",,"Clarendon",12994,975,0.0093167701863354,0.0405549626467449,-0.00306748466257669,1386
2015-08-31,"Plymouth","WI","Janesville","Rock",12995,863,0.0298329355608592,-0.0526893523600439,-0.262393162393162,446
2015-08-31,"Conquest","NY","Auburn","Cayuga",12996,1373,-0.00507246376811594,0.0029218407596786,-0.0317348377997179,454
2015-08-31,"Upper Brookville","NY","New York","Nassau",12997,6386,0.105035473265271,0.129266136162688,0.0368566325702224,556
2015-08-31,"Lovejoy","GA","Atlanta","Clayton",12998,854,0.00470588235294118,0.00234741784037559,-0.024,1815
2015-08-31,"Port Bolivar","TX","Houston","Galveston",12999,1597,0.00693568726355612,0.0376868096166342,0.0217530390275112,2837
2015-08-31,"Lake Wynonah","PA","Pottsville","Schuylkill",13000,1260,-0.00943396226415094,0,0.024390243902439,1089
2015-08-31,"Excelsior","MN","Minneapolis-St Paul","Hennepin",13001,1981,0.00968399592252803,0.0290909090909091,0.0280228334198236,687
2015-08-31,"Philo","OH","Zanesville","Muskingum",13002,772,-0.0289308176100629,-0.0409937888198758,0.00783289817232376,688
2015-08-31,"Barneveld","WI","Madison","Iowa",13003,1289,-0.00309358081979892,-0.0315552216378663,0.0165615141955836,771
2015-08-31,"Mc Clure","OH",,"Henry",13004,969,-0.00717213114754098,-0.0112244897959184,0.0374732334047109,405
2015-08-31,"Hot Springs","NC","Asheville","Madison",13005,1145,0.0114840989399293,0.0168738898756661,0.0250671441360788,465
2015-08-31,"Gilbert","MN","Duluth","Saint Louis",13006,837,-0.0278745644599303,-0.0267441860465116,-0.154545454545455,970
2015-08-31,"Victoria","KS","Hays","Ellis",13007,1052,0.000951474785918173,-0.0268270120259019,-0.0573476702508961,534
2015-08-31,"Bellevue","IL","Peoria","Peoria",13008,783,-0.00508259212198221,0.0129366106080207,-0.0345252774352651,523
2015-08-31,"Francisco","IN","Evansville","Gibson",13009,909,0.0033112582781457,0.0306122448979592,0.1044957472661,425
2015-08-31,"Three Rivers","MA","Springfield","Hampden",13010,1366,-0.00146198830409357,0.00220102714600147,0.0372057706909643,570
2015-08-31,"Rutherford","TN","Humboldt","Gibson",13011,787,0,-0.00881612090680101,-0.0402439024390244,981
2015-08-31,"Robins","IA","Cedar Rapids","Linn",13012,1489,-0.00799467021985343,-0.0343709468223087,-0.0515923566878981,677
2015-08-31,"Port Carbon","PA","Pottsville","Schuylkill",13013,846,-0.00118063754427391,0.00355871886120996,0.010752688172043,668
2015-08-31,"Jackson","NY","Glens Falls","Washington",13014,1532,-0.0154241645244216,-0.0578105781057811,-0.123068116771608,560
2015-08-31,"Taylor","AR",,"Lafayette",13015,860,-0.00232018561484919,-0.0103567318757192,0.0817610062893082,419
2015-08-31,"Bonneauville","PA","Gettysburg","Adams",13016,1109,-0.0018001800180018,0.001806684733514,-0.0194518125552608,841
2015-08-31,"Upper Bern","PA","Reading","Berks",13017,1322,0.00762195121951219,0.0114766641162969,0.0916597853014038,460
2015-08-31,"Dexter","IA","Des Moines","Dallas",13018,1244,0.0255564715581204,0.0471380471380471,0.100884955752212,596
2015-08-31,"Crompond","NY","New York","Westchester",13019,2723,0.00851851851851852,0.0248400451637185,-0.0062043795620438,481
2015-08-31,"Clarkson","NE",,"Colfax",13020,875,0.0416666666666667,0.0829207920792079,0.146788990825688,541
2015-08-31,"Freeburg","IL","St. Louis","Saint Clair",13021,1144,0.018699910952805,0.0534069981583794,-0.000873362445414847,980
2015-08-31,"Billingsley","AL","Montgomery","Autauga",13022,962,-0.0233502538071066,-0.06511175898931,0.0277777777777778,716
