"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Mountain View","CA","San Jose","Santa Clara",527,1344000,0.0164107993647432,0.0542830247882021,0.226949059704218,0.121747491323986,0.0556078078715747,"2015-08","2015-Q3",1344000,0,"2015-08"
2015-08-31,"New Rochelle","NY","New York","Westchester",528,603100,-0.00149006622516556,-0.00560593569661995,0.0153198653198653,0.00139865344195589,-0.0132418823211443,"2006-02","2006-Q1",694700,-0.131855477184396,"2004-10"
2015-08-31,"Alameda","CA","San Francisco","Alameda",529,820700,0.0112124199112863,0.039650367367621,0.137649015802606,0.0789414510147215,0.0165151654531888,"2015-08","2015-Q3",820700,0,"2015-08"
2015-08-31,"Manteca","CA","Stockton","San Joaquin",530,303700,0.00897009966777409,0.0340483486550902,0.0819380121125757,0.117838616983921,-0.0309280328428783,"2005-12","2005-Q4",435400,-0.302480477721635,"2004-06"
2015-08-31,"New Britain","CT","Hartford","Hartford",531,131100,0.00382848392036753,0.00846153846153846,0.00613967766692249,-0.0247481642924432,-0.0167338293647933,"2007-09","2007-Q3",171100,-0.233781414377557,"2003-10"
2015-08-31,"Bellingham","WA","Bellingham","Whatcom",532,291800,0.00309384668270883,0.00864154856550294,0.0380647456421202,0.0228740839280639,0.00941411495099187,"2015-08","2015-Q3",291800,0,"2015-08"
2015-08-31,"Georgetown","TX","Austin","Williamson",533,244000,0.00452861259777686,0.0243492863140218,0.0683012259194396,0.0486654307553624,0.0287931572743632,"2015-08","2015-Q3",244000,0,"2015-08"
2015-08-31,"Port Charlotte","FL","Punta Gorda","Charlotte",534,137600,0.00805860805860806,0.0238095238095238,0.0600924499229584,0.0665584359645552,-0.0346593941220931,"2006-04","2006-Q2",208700,-0.340680402491615,"2004-03"
2015-08-31,"Springfield","OR","Eugene","Lane",535,184700,0.00435019032082654,0.011500547645126,0.0476460578559274,0.0147038777417567,0.00744252096506304,"2007-06","2007-Q2",204600,-0.0972629521016618,"2006-01"
2015-08-31,"Saint Charles","MO","St. Louis","Saint Charles",536,164300,0.00305250305250305,0.013571869216533,0.0745585349901897,0.00925968108523278,-0.00474302799788551,"2007-03","2007-Q1",183500,-0.104632152588556,"2004-10"
2015-08-31,"San Ramon","CA","San Francisco","Contra Costa",537,899500,0.00222841225626741,0.0105606111672846,0.0670225385527877,0.0658872083250579,0.00591325644281349,"2015-08","2015-Q3",899500,0,"2015-08"
2015-08-31,"O Fallon","MO","St. Louis","Saint Charles",538,197700,0.0030441400304414,0.0159301130524152,0.0756256800870511,0.0144666379346883,-0.00487432385026842,"2006-08","2006-Q3",218300,-0.0943655519926706,"2005-02"
2015-08-31,"Casa Grande","AZ","Phoenix","Pinal",539,132000,0.0045662100456621,0.0114942528735632,0.00151745068285281,0.0644355261692433,-0.0251541923670988,"2006-08","2006-Q3",198200,-0.334006054490414,"2004-11"
2015-08-31,"Folsom","CA","Sacramento","Sacramento",540,440200,0.00319051959890611,0.00594149908592322,0.0384524652040576,0.0424386511678545,-0.0137561744500582,"2005-12","2005-Q4",514800,-0.144910644910645,"2004-10"
2015-08-31,"Smyrna","GA","Atlanta","Cobb",541,201700,0.00648702594810379,0.0192016169782719,0.0717321997874601,0.025199523717955,0.00114751663721102,"2007-05","2007-Q2",208900,-0.0344662517951173,"2006-07"
2015-08-31,"Denham Springs","LA","Baton Rouge","Livingston",542,140300,-0.00848056537102473,0.0100791936645068,0.0255847953216374,-0.0042225294921856,-0.00914493538351346,"2008-07","2008-Q3",184900,-0.241211465657112,"2005-05"
2015-08-31,"Pawtucket","RI","Providence","Providence",543,153100,0.00261951538965291,0.00327653997378768,0.035158891142664,-0.0102579303261298,-0.0410016040851242,"2006-05","2006-Q2",236200,-0.351820491109229,"2002-10"
2015-08-31,"Mount Pleasant","SC","Charleston","Charleston",544,371700,0.00242718446601942,0.0122549019607843,0.0714903430383396,0.0550003259389185,0.0162384171138397,"2015-08","2015-Q3",371700,0,"2015-08"
2015-08-31,"Snellville","GA","Atlanta","Gwinnett",545,149200,0.00201477501678979,0.0094722598105548,0.0619217081850534,0.02968214297834,-0.011325677400944,"2007-01","2007-Q1",175800,-0.151308304891923,"2001-09"
2015-08-31,"Temple","TX","Killeen","Bell",546,110400,0.00454959053685168,0.0250696378830084,0.0574712643678161,0.0208030218196085,0.0100441520703614,"2008-04","2008-Q2",114400,-0.034965034965035,"2007-12"
2015-08-31,"Rochester Hills","MI","Detroit","Oakland",547,272900,0.00110051357300073,0.00330882352941176,0.0232470941132358,0.0851087126963646,-0.00277860650253692,"2005-07","2005-Q3",281200,-0.0295163584637269,"2004-11"
2015-08-31,"Southfield","MI","Detroit","Oakland",548,119700,0.000836120401337793,0.010126582278481,0.0941499085923218,0.0839289922614343,-0.0389025724959599,"2005-12","2005-Q4",179700,-0.333889816360601,"1997-05"
2015-08-31,"Plymouth","MN","Minneapolis-St Paul","Hennepin",549,299100,-0.0013355592654424,0.000669120107059217,-0.00166889185580774,0.025591000827405,-0.00392591718449742,"2007-02","2007-Q1",318200,-0.0600251414204903,"2004-12"
2015-08-31,"Wilmington","DE","Philadelphia","New Castle",550,128000,-0.00233826968043648,-0.0062111801242236,0.0207336523125997,-0.0139296812885351,-0.00464473234960916,"2007-07","2007-Q3",146600,-0.1268758526603,"2005-02"
2015-08-31,"Simpsonville","SC","Greenville","Greenville",551,185000,0.00216684723726977,0.00598151169113649,0.0381593714927048,0.01633888117283,0.0123690113174004,"2015-08","2015-Q3",185000,0,"2015-08"
2015-08-31,"La Mesa","CA","San Diego","San Diego",552,458200,0.00394390885188431,0.0141655599822931,0.0577100646352724,0.0473941259311419,-0.00934413408088908,"2006-04","2006-Q2",507800,-0.0976762504923198,"2004-06"
2015-08-31,"Redlands","CA","Riverside","San Bernardino",553,351300,0.00199657729606389,0.00948275862068966,0.0393491124260355,0.0567289390140056,-0.00986175235543907,"2006-04","2006-Q2",418200,-0.159971305595409,"2004-12"
2015-08-31,"Mission","TX","McAllen","Hidalgo",554,109600,0.00366300366300366,0.0233426704014939,0.0579150579150579,0.0148750019069757,0.0169976672281664,"2009-08","2009-Q3",112900,-0.029229406554473,"2009-06"
2015-08-31,"Kokomo","IN","Kokomo","Howard",555,73100,0.0068870523415978,0.0152777777777778,-0.00679347826086957,0.00755541994794107,-0.0262737001757143,"2002-06","2002-Q2",96900,-0.245614035087719,"1996-12"
2015-08-31,"Petaluma","CA","Santa Rosa","Sonoma",556,576200,0.00540917815389984,0.0139011085694176,0.0706057227796358,0.0612700225488674,-0.00934185213892125,"2005-12","2005-Q4",643100,-0.104027367438967,"2004-12"
2015-08-31,"Waterford","MI","Detroit","Oakland",557,136500,-0.000732064421669107,0.00441501103752759,0.0672400312744331,0.0758619162551202,-0.0217658187479185,"2005-12","2005-Q4",171200,-0.20268691588785,"1999-08"
2015-08-31,"Lake Forest","CA","Los Angeles","Orange",558,631600,0.00493237867939539,0.0102367242482406,0.035749426041325,0.0581982371906586,-0.00545344342682219,"2006-04","2006-Q2",701800,-0.10002849814762,"2005-03"
