"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"New York","NY","New York","Queens",0,571700,0.00474516695957821,0.0170788115993595,0.0542135349437581,0.038983000651337,0.0251403628952087,"2015-08","2015-Q3",571700,0,"2015-08"
2015-08-31,"Los Angeles","CA","Los Angeles","Los Angeles",1,546600,0.00588884799411115,0.0176875814559672,0.0615653524956302,0.0593013717070174,-0.00159585540426332,"2006-08","2006-Q3",602100,-0.0921773791728949,"2005-08"
2015-08-31,"Chicago","IL","Chicago","Cook",2,194800,0.00671834625322997,0.0372736954206603,0.0650628758884636,-0.00475681935259109,-0.0175361043872826,"2006-12","2006-Q4",245000,-0.204897959183673,"2003-07"
2015-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",3,120100,0.00418060200668896,0.0160744500846024,0.0535087719298246,0.00370442880681821,0.0161708613251652,"2007-09","2007-Q3",122800,-0.0219869706840391,"2007-03"
2015-08-31,"Phoenix","AZ","Phoenix","Maricopa",4,178500,0.00676818950930626,0.0205831903945112,0.0805084745762712,0.0866722731095253,-0.019882040003704,"2006-06","2006-Q2",246400,-0.275568181818182,"2005-03"
2015-08-31,"Las Vegas","NV","Las Vegas","Clark",5,185200,0.00597501357957632,0.0232044198895028,0.0717592592592593,0.0765107487334888,-0.0413451958282425,"2006-07","2006-Q3",299600,-0.381842456608812,"2004-01"
2015-08-31,"San Diego","CA","San Diego","San Diego",6,510100,0.00235802711731185,0.00671008486283797,0.054143418061583,0.0468119124775719,-0.00451249779013019,"2005-10","2005-Q4",536200,-0.0486758672137262,"2004-08"
2015-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",7,128200,0.0126382306477093,0.0439739413680782,0.142602495543672,0.0532666828691508,0.00961596628721306,"2015-08","2015-Q3",128200,0,"2015-08"
2015-08-31,"San Jose","CA","San Jose","Santa Clara",8,788400,0.00818414322250639,0.0295116218333769,0.100963552576456,0.0857971302062215,0.0162089062758652,"2015-08","2015-Q3",788400,0,"2015-08"
2015-08-31,"Jacksonville","FL","Jacksonville","Duval",9,129300,0.0125293657008614,0.0327476038338658,0.0624486442070666,0.0111938359523811,-0.0187227064237301,"2006-11","2006-Q4",179200,-0.278459821428571,"2004-07"
2015-08-31,"San Francisco","CA","San Francisco","San Francisco",10,1094500,0.0127695012491903,0.0435736079328757,0.135844748858447,0.0947031036855148,0.0346022205813552,"2015-08","2015-Q3",1094500,0,"2015-08"
2015-08-31,"Columbus","OH","Columbus","Franklin",11,107300,0.00656660412757974,0.0219047619047619,0.0561023622047244,0.00130988473155602,-0.0107109965233453,"2006-04","2006-Q2",120900,-0.112489660876758,"2002-11"
2015-08-31,"Detroit","MI","Detroit","Wayne",12,39900,0.0126903553299492,0.0310077519379845,-0.0244498777506112,-0.0224632926434217,-0.0653141171838697,"2005-12","2005-Q4",78800,-0.493654822335025,
2015-08-31,"Charlotte","NC","Charlotte","Mecklenburg",13,161600,0.00560049782202863,0.0189155107187894,0.0555192684519922,0.028086015700836,0.0118792534229972,"2015-08","2015-Q3",161600,0,"2015-08"
2015-08-31,"Memphis","TN","Memphis","Shelby",14,67000,0,-0.0014903129657228,0,-0.0118086673783727,-0.0225911408450034,"2007-03","2007-Q1",89100,-0.248035914702581,"1998-09"
2015-08-31,"El Paso","TX","El Paso","El Paso",15,110300,-0.000905797101449275,0.00181653042688465,-0.00451263537906137,-0.0012644549129327,0.0153658517335717,"2007-12","2007-Q4",122700,-0.101059494702526,"2006-09"
2015-08-31,"Baltimore","MD","Baltimore","Baltimore City",16,109500,0.00550964187327824,0.0195530726256983,0.00735970561177553,-0.0121472168130997,0.013880042694097,"2007-12","2007-Q4",130900,-0.163483575248281,"2006-02"
2015-08-31,"Boston","MA","Boston","Suffolk",17,467200,0.0030055817947617,0.0032209576980889,0.0809810273021749,0.0632597953010792,0.0198316176675057,"2015-08","2015-Q3",467200,0,"2015-08"
2015-08-31,"Seattle","WA","Seattle","King",18,513200,0.00765756921264481,0.0303151977514555,0.116380247987818,0.0614392305357108,0.0276215644160598,"2015-08","2015-Q3",513200,0,"2015-08"
2015-08-31,"Washington","DC","Washington","District of Columbia",19,489800,0.00204582651391162,0.0105219723540334,0.059027027027027,0.0676989486521664,0.0254917812962809,"2015-08","2015-Q3",489800,0,"2015-08"
2015-08-31,"Denver","CO","Denver","Denver",20,322500,0.0116060225846926,0.0393167902030293,0.16974972796518,0.0871138814270163,0.0381421341313923,"2015-08","2015-Q3",322500,0,"2015-08"
2015-08-31,"Nashville","TN","Nashville","Davidson",21,180800,0.0100558659217877,0.0301994301994302,0.105810397553517,0.0448317515087919,0.025904746258691,"2015-08","2015-Q3",180800,0,"2015-08"
2015-08-31,"Milwaukee","WI","Milwaukee","Milwaukee",22,94300,0,0.00212539851222104,0.017259978425027,-0.0274846114113884,-0.032705777089336,"2006-05","2006-Q2",137400,-0.313682678311499,"2002-08"
2015-08-31,"Portland","OR","Portland","Multnomah",23,335000,0.0114734299516908,0.0498276402381699,0.118157543391188,0.0566707587835473,0.0324156616969153,"2015-08","2015-Q3",335000,0,"2015-08"
2015-08-31,"Oklahoma City","OK","Oklahoma City","Oklahoma",24,122500,0.00245499181669394,0.00245499181669394,0.025963149078727,0.0260867441854535,0.0221487433120948,"2015-08","2015-Q3",122500,0,"2015-08"
2015-08-31,"Albuquerque","NM","Albuquerque","Bernalillo",25,167500,0.00239377618192699,0.00782190132370638,-0.000596658711217184,-0.0103007386940118,0.00662306043813676,"2007-10","2007-Q4",200000,-0.1625,"2006-02"
2015-08-31,"Tucson","AZ","Tucson","Pima",26,135500,-0.000737463126843658,0.0037037037037037,0.011949215832711,0.00403359378550139,-0.0259781525149927,"2006-05","2006-Q2",196000,-0.308673469387755,"2004-08"
2015-08-31,"Omaha","NE","Omaha","Douglas",27,135700,-0.00220588235294118,0.00444115470022206,0.0552099533437014,0.00417862643886369,0.00476513579885096,"2015-07","2015-Q3",136000,-0.00220588235294118,"2015-06"
2015-08-31,"Fresno","CA","Fresno","Fresno",28,182000,0.00441501103752759,0.0178970917225951,0.0624635143023935,0.0447798861346727,-0.037815120277785,"2006-05","2006-Q2",288300,-0.368713146028443,"2004-04"
2015-08-31,"Mesa","AZ","Phoenix","Maricopa",29,191200,0.00737618545837724,0.0202774813233725,0.0657748049052397,0.0788871705998389,-0.0140223799618084,"2006-03","2006-Q1",248900,-0.231820008035356,"2005-05"
2015-08-31,"Long Beach","CA","Los Angeles","Los Angeles",30,492500,0.00695154365160499,0.0205138831330294,0.0350987810004203,0.0464375486000235,-0.00602868804376255,"2006-06","2006-Q2",567000,-0.131393298059965,"2005-04"
2015-08-31,"Kansas City","MO","Kansas City","Jackson",31,104700,0.00576368876080692,0.0274779195289499,0.0366336633663366,0.00038248242208061,-0.0401320322851629,"2007-07","2007-Q3",160500,-0.347663551401869,"1997-05"
2015-08-31,"Sacramento","CA","Sacramento","Sacramento",32,272500,0.00627769571639586,0.0190725504861631,0.0886935677187375,0.0705391316455903,-0.0267844352254691,"2005-12","2005-Q4",364000,-0.251373626373626,"2004-04"
2015-08-31,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",33,246100,0.00326131267835304,0.00778050778050778,0.0152640264026403,0.0047813573138229,-0.003507170857175,"2007-04","2007-Q2",276200,-0.108979000724113,"2005-07"
2015-08-31,"Colorado Springs","CO","Colorado Springs","El Paso",34,214000,0.00328176277543366,0.0108644307982995,0.0536681437715411,0.0310053607245533,0.0106967532128714,"2015-08","2015-Q3",214000,0,"2015-08"
2015-08-31,"Atlanta","GA","Atlanta","Fulton",35,175700,0.00977011494252874,0.0304985337243402,0.109917877447884,0.0408845806816183,-0.00637296737586246,"2006-04","2006-Q2",196800,-0.107215447154472,"2004-07"
2015-08-31,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",36,289200,0.00521376433785193,0.0168776371308017,0.0723025583982203,0.0860536288092728,-0.00907379931455932,"2007-03","2007-Q1",373200,-0.22508038585209,"2005-05"
2015-08-31,"Tulsa","OK","Tulsa","Tulsa",37,104600,-0.00285986653956149,0.00576923076923077,0.0264965652600589,0.0224713956503744,0.0160537499026943,"2015-07","2015-Q3",104900,-0.00285986653956149,"2015-07"
2015-08-31,"Cleveland","OH","Cleveland","Cuyahoga",38,53300,0.0018796992481203,0.0113851992409867,-0.00929368029739777,-0.0266265978086588,-0.0441270427166627,"2006-02","2006-Q1",84400,-0.368483412322275,
2015-08-31,"Honolulu","HI","Honolulu","Honolulu",39,625300,0.00320872773945131,0.0113213650331554,0.0374979259996682,0.0384893635287833,0.0191023603309308,"2015-08","2015-Q3",625300,0,"2015-08"
2015-08-31,"Oakland","CA","San Francisco","Alameda",40,553700,0.0135456708768076,0.0439291101055807,0.151861868109008,0.0970824695010546,0.00550917178198418,"2015-08","2015-Q3",553700,0,"2015-08"
2015-08-31,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",41,202200,0.00148588410104012,0.00546991546494281,0.0305810397553517,0.0245593313398444,-0.00916452836505477,"2006-04","2006-Q2",223600,-0.0957066189624329,"2004-05"
2015-08-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",42,142000,-0.00210822206605762,0.0128388017118402,0.0357403355215171,0.0320138095639431,0.0178274008439285,"2015-06","2015-Q2",142400,-0.00280898876404494,"2015-06"
2015-08-31,"Raleigh","NC","Raleigh","Wake",43,194300,0.00103039670273055,0.00673575129533679,0.0318640467339352,0.017678406673042,0.0154996553665361,"2015-08","2015-Q3",194300,0,"2015-08"
2015-08-31,"Wichita","KS","Wichita","Sedgwick",44,107100,0.00280898876404494,0.00752587017873942,0.0572556762092794,0.0123996819616823,0.0119542889164559,"2009-06","2009-Q2",114300,-0.062992125984252,"2008-07"
2015-08-31,"Arlington","TX","Dallas-Fort Worth","Tarrant",45,146900,0.00685400959561343,0.0279916025192442,0.131741140215716,0.047464164821619,0.0122967542169528,"2015-08","2015-Q3",146900,0,"2015-08"
2015-08-31,"New Orleans","LA","New Orleans","Orleans",46,164700,0.00610873549175321,0.00980993255671367,0.0185528756957328,0.0337698893642218,,"2014-05","2014-Q2",166400,-0.0102163461538462,"2014-04"
2015-08-31,"Bakersfield","CA","Bakersfield","Kern",47,203900,0.000981836033382425,0.00443349753694581,0.0435005117707267,0.0685017303661755,-0.0322160222316811,"2006-04","2006-Q2",314500,-0.351669316375199,"2004-09"
2015-08-31,"Tampa","FL","Tampa","Hillsborough",48,145900,0.0082930200414651,0.0281888653981677,0.075165806927045,0.0474767368039422,-0.0199647264717526,"2006-10","2006-Q4",210700,-0.307546274323683,"2004-11"
2015-08-31,"Anaheim","CA","Los Angeles","Orange",49,487900,0.00556471558120363,0.0147670549084859,0.049247311827957,0.0548921059429488,-0.0153112788715158,"2006-06","2006-Q2",608500,-0.198192276088743,"2004-09"
2015-08-31,"Aurora","CO","Denver","Arapahoe",50,230000,0.0154525386313466,0.0473588342440801,0.204819277108434,0.0902688540033154,0.0207491004438063,"2015-08","2015-Q3",230000,0,"2015-08"
2015-08-31,"Santa Ana","CA","Los Angeles","Orange",51,431000,0.00630399252860145,0.0189125295508274,0.061314947057375,0.0735853141303728,-0.0227092987082128,"2007-01","2007-Q1",611000,-0.294599018003273,"2004-07"
2015-08-31,"Saint Louis","MO","St. Louis","Saint Louis City",52,97500,0.00619195046439629,0.0145681581685744,0.035031847133758,-0.0233035760113106,-0.0205498502666646,"2007-04","2007-Q2",132500,-0.264150943396226,"2003-07"
2015-08-31,"Marietta","GA","Atlanta","Cobb",53,223000,0.00631768953068592,0.0159453302961276,0.0608943862987631,0.0330923122296913,0.00884608394891129,"2015-08","2015-Q3",223000,0,"2015-08"
2015-08-31,"Pittsburgh","PA","Pittsburgh","Allegheny",54,91600,0.00328587075575027,0.0077007700770077,0.0326944757609921,0.0329316937111883,0.0311540638817938,"2015-08","2015-Q3",91600,0,"2015-08"
2015-08-31,"Riverside","CA","Riverside","Riverside",55,304400,0.00362677217276624,0.0126413838988689,0.0403280929596719,0.0849355104885228,-0.0199869991021395,"2006-08","2006-Q3",417200,-0.270373921380633,"2004-08"
2015-08-31,"Cincinnati","OH","Cincinnati","Hamilton",56,98500,-0.00202634245187437,-0.0100502512562814,0.0292580982236155,0.0066272109233847,-0.0144214326488347,"2006-04","2006-Q2",115600,-0.147923875432526,"2001-12"
2015-08-31,"Anchorage","AK","Anchorage","Anchorage",57,285200,0.000701754385964912,0.00955752212389381,0.0303468208092486,0.0227180882476041,0.0103479706613996,"2007-09","2007-Q3",301300,-0.0534351145038168,"2006-06"
2015-08-31,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",58,166600,0.00301023479831427,0.0096969696969697,0.0399500624219725,0.0280198888421355,-0.0173172490815248,"2006-05","2006-Q2",205000,-0.187317073170732,"2003-02"
2015-08-31,"Silver Spring","MD","Washington","Montgomery",59,363500,-0.0016478989288657,-0.00710188473094783,-0.0196871628910464,0.0145929701668499,-0.0141086885936277,"2006-06","2006-Q2",444300,-0.181859104208868,"2004-10"
2015-08-31,"Toledo","OH","Toledo","Lucas",60,56500,0.00355239786856128,0.00177304964539007,-0.0173913043478261,-0.0237033410243257,-0.0389958896700545,"2006-04","2006-Q2",85100,-0.336075205640423,"1997-12"
2015-08-31,"Tallahassee","FL","Tallahassee","Leon",61,154100,0,0.00390879478827362,0.0151515151515152,-0.00686476508763612,-0.01336837356174,"2006-07","2006-Q3",193500,-0.203617571059432,"2004-10"
2015-08-31,"Stockton","CA","Stockton","San Joaquin",62,213800,0.00991969768540387,0.0333494441759304,0.131216931216931,0.097127455346188,-0.0515594633573497,"2006-03","2006-Q1",379600,-0.436775553213909,"2003-06"
2015-08-31,"Newark","NJ","New York","Essex",63,200600,-0.00446650124069479,-0.00496031746031746,0.0334878928387429,-0.0162279040303694,-0.0286967503968856,"2007-04","2007-Q2",314800,-0.36277001270648,"2004-04"
2015-08-31,"Lexington","KY","Lexington","Fayette",64,146700,0.00341997264021888,0.00548320767649075,0.0208768267223382,0.0155611267816997,0.00686432817129279,"2015-08","2015-Q3",146700,0,"2015-08"
2015-08-31,"Modesto","CA","Modesto","Stanislaus",65,219600,0.00549450549450549,0.0190255220417633,0.107971745711403,0.0986406016471011,-0.0419802177069166,"2006-03","2006-Q1",353800,-0.379310344827586,"2003-10"
2015-08-31,"Durham","NC","Durham","Durham",66,166900,0.00421179302045728,0.0109024833434282,0.043125,0.0106367449526252,0.00906385364975026,"2015-08","2015-Q3",166900,0,"2015-08"
2015-08-31,"Plano","TX","Dallas-Fort Worth","Collin",67,269700,0.00860134629768138,0.04575416828228,0.169050715214564,0.0697690834070659,0.0320664458239799,"2015-08","2015-Q3",269700,0,"2015-08"
2015-08-31,"Chandler","AZ","Phoenix","Maricopa",68,254200,0.00355309909198579,0.0119426751592357,0.0430857611817809,0.0635544642228443,-0.0133274375372079,"2006-02","2006-Q1",317400,-0.199117832388154,"2005-05"
2015-08-31,"Pensacola","FL","Pensacola","Escambia",69,114300,0.00971731448763251,0.0223613595706619,0.0362647325475975,0.00425321043102134,-0.0175212043044327,"2006-04","2006-Q2",143200,-0.201815642458101,"2005-01"
2015-08-31,"Henderson","NV","Las Vegas","Clark",70,244900,0.00492408699220353,0.0149191877331123,0.0643198609300304,0.0707495668125158,-0.0323340764766116,"2006-04","2006-Q2",358600,-0.317066369213608,"2004-02"
2015-08-31,"Saint Petersburg","FL","Tampa","Pinellas",71,144600,0.0111888111888112,0.0328571428571429,0.109746738296239,0.0535535636026774,-0.0179423726558968,"2006-05","2006-Q2",193000,-0.250777202072539,"2004-11"
2015-08-31,"Mobile","AL","Mobile","Mobile",72,100900,0.00198609731876862,0.01001001001001,0.022289766970618,-0.0142373094761146,-0.00215462182912252,"2008-01","2008-Q1",124000,-0.186290322580645,"2005-05"
2015-08-31,"Orlando","FL","Orlando","Orange",73,142600,0.00991501416430595,0.0244252873563218,0.0462215700660308,0.0559854640615196,-0.0320448327825168,"2006-07","2006-Q3",235800,-0.395250212044105,"2004-07"
2015-08-31,"Jersey City","NJ","New York","Hudson",74,319300,0.0123652504755866,0.0424420502775057,0.127471751412429,0.0180361817496493,-0.000841690162313946,"2007-05","2007-Q2",371300,-0.140048478319418,"2005-08"
2015-08-31,"Glendale","AZ","Phoenix","Maricopa",75,182100,0.0105438401775805,0.027072758037225,0.076241134751773,0.0878985755345894,-0.0241793067069073,"2006-04","2006-Q2",257500,-0.292815533980583,"2005-03"
2015-08-31,"Greensboro","NC","Greensboro","Guilford",76,111000,0,-0.00269541778975741,0.0155535224153705,-0.00107758871082531,-0.00499511650261686,"2008-03","2008-Q1",121500,-0.0864197530864197,"2004-01"
2015-08-31,"Louisville","KY","Louisville/Jefferson County","Jefferson",77,97800,0.00410677618069815,0.0230125523012552,0.0572972972972973,0.0258105013205663,0.0125880689502595,"2015-08","2015-Q3",97800,0,"2015-08"
2015-08-31,"Corona","CA","Riverside","Riverside",78,439200,0.00182481751824818,0.00572475383558507,0.0036563071297989,0.060774120413178,-0.0164235715537859,"2006-03","2006-Q1",573100,-0.2336415983249,"2004-06"
2015-08-31,"Chula Vista","CA","San Diego","San Diego",79,435900,0.00252989880404784,0.00507263085081854,0.0567272727272727,0.06041040358683,-0.0231420626501903,"2006-05","2006-Q2",554300,-0.213602742197366,"2004-04"
2015-08-31,"Lincoln","NE","Lincoln","Lancaster",80,143800,0.00418994413407821,0.00770847932725999,0.0315638450502152,0.0233918434198808,0.010998699345137,"2015-08","2015-Q3",143800,0,"2015-08"
2015-08-31,"Fayetteville","NC","Fayetteville","Cumberland",81,105800,-0.00188679245283019,-0.00188679245283019,-0.0075046904315197,-0.0185777314598427,0.00945261648559281,"2010-07","2010-Q3",116300,-0.0902837489251935,"2007-01"
2015-08-31,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",82,172900,0.0134818288393904,0.0390625,0.101273885350318,0.0603300182769853,-0.0234032794530767,"2007-03","2007-Q1",273800,-0.368517165814463,"2004-10"
2015-08-31,"Fort Wayne","IN","Fort Wayne","Allen",83,83000,0.00120627261761158,0.0097323600973236,-0.00598802395209581,-0.00333976928311619,-0.0134128634021854,"2005-10","2005-Q4",96000,-0.135416666666667,"2000-07"
2015-08-31,"Lawrenceville","GA","Atlanta","Gwinnett",84,159700,0.00377121307353866,0.0146124523506989,0.0618351063829787,0.0367999160102741,-0.00611365694439114,"2007-02","2007-Q1",177900,-0.10230466554244,"2003-04"
2015-08-31,"Madison","WI","Madison","Dane",85,201700,0.00198708395429707,0.00749250749250749,0.0130587644399799,0.0123430681883798,0.00426286614912508,"2015-08","2015-Q3",201700,0,"2015-08"
2015-08-31,"Fort Myers","FL","Fort Myers","Lee",86,175400,0.00631095811818703,0.0203606748109366,0.0807147258163894,0.067380284373197,-0.035892964861104,"2006-04","2006-Q2",284000,-0.382394366197183,"2004-08"
2015-08-31,"San Bernardino","CA","Riverside","San Bernardino",87,207600,0.00630150266602036,0.024173655648742,0.0835073068893528,0.113089828744799,-0.0289182063374724,"2006-08","2006-Q3",331800,-0.374321880650995,"2004-09"
2015-08-31,"Garland","TX","Dallas-Fort Worth","Dallas",88,135700,0.0119313944817301,0.04304381245196,0.169827586206897,0.0577211693375907,0.0130487831564088,"2015-08","2015-Q3",135700,0,"2015-08"
2015-08-31,"Winston-Salem","NC","Winston-Salem","Forsyth",89,112400,0.00536672629695885,0.015356820234869,0.00446827524575514,-0.0113470422662887,-0.00585666420166364,"2007-10","2007-Q4",125000,-0.1008,"2003-08"
2015-08-31,"Chesapeake","VA","Virginia Beach","Chesapeake City",90,239500,0.00293132328308208,0.0126849894291755,0.0135421074904782,0.00167856589246473,-0.00271476240433211,"2006-08","2006-Q3",269200,-0.110326894502229,"2005-07"
2015-08-31,"Birmingham","AL","Birmingham","Jefferson",91,59800,0.00504201680672269,0.0222222222222222,0.0418118466898955,-0.0131751774822393,-0.0134909783291326,"2007-09","2007-Q3",73700,-0.188602442333786,"2002-02"
2015-08-31,"Fontana","CA","Riverside","San Bernardino",92,312500,0.00353243416827232,0.0100193923723335,0.0528975741239892,0.0940192746227626,-0.0180931364795431,"2006-06","2006-Q2",424000,-0.262971698113208,"2004-10"
2015-08-31,"Bradenton","FL","Sarasota","Manatee",93,185200,0.00816548720740337,0.0266075388026608,0.0887713109935332,0.059681983019954,-0.0330203000244529,"2006-02","2006-Q1",279500,-0.337388193202147,"2004-08"
2015-08-31,"Knoxville","TN","Knoxville","Knox",94,113200,0.000884173297966401,-0.00088261253309797,-0.00527240773286467,-0.00228112571435968,0.00988031446653381,"2009-11","2009-Q4",117600,-0.0374149659863946,"2009-02"
2015-08-31,"North Las Vegas","NV","Las Vegas","Clark",95,172200,0.00466744457409568,0.0213523131672598,0.0649350649350649,0.0947723132555385,-0.0465615346607866,"2006-04","2006-Q2",290900,-0.408044001375043,"2003-11"
2015-08-31,"Reno","NV","Reno","Washoe",96,248400,0.0134638922888617,0.0458947368421053,0.161833489242282,0.0805846755478687,-0.027473819335054,"2006-03","2006-Q1",336200,-0.261154074955384,"2004-07"
2015-08-31,"Springfield","MO","Springfield","Greene",97,108200,0.00557620817843866,0.011214953271028,0.015962441314554,0.00204576752453156,-0.000368936035102685,"2009-06","2009-Q2",121200,-0.107260726072607,"2005-08"
2015-08-31,"Montgomery","AL","Montgomery","Montgomery",98,82500,-0.00121065375302663,0.00364963503649635,0.00364963503649635,-0.0185568455343067,-0.00788903636921234,"2010-02","2010-Q1",96000,-0.140625,"2004-07"
2015-08-31,"Scottsdale","AZ","Phoenix","Maricopa",99,394300,0.00254258835494533,0.00843989769820972,0.046721529068224,0.0524259519102241,-0.0111532922802413,"2006-02","2006-Q1",480500,-0.17939646201873,"2005-05"
2015-08-31,"Santa Rosa","CA","Santa Rosa","Sonoma",100,480400,0.00903171602604495,0.0260572404955147,0.101329665291151,0.0765012327512096,-0.013528443419637,"2005-12","2005-Q4",564100,-0.148377947172487,"2004-10"
2015-08-31,"Fremont","CA","San Francisco","Alameda",101,840400,0.0135069946936807,0.0404853287111551,0.156619873382879,0.0927759406239752,0.0222493620811413,"2015-08","2015-Q3",840400,0,"2015-08"
2015-08-31,"Irving","TX","Dallas-Fort Worth","Dallas",102,143600,0.00913562895291637,0.0368231046931408,0.122752150117279,0.0470652804547111,0.00792531186060619,"2015-08","2015-Q3",143600,0,"2015-08"
2015-08-31,"Oxnard","CA","Ventura","Ventura",103,414200,0.00509585052171803,0.0154449620004903,0.0563631726600357,0.0629104040208854,-0.0279939885805385,"2006-05","2006-Q2",604600,-0.314918954680781,"2004-05"
2015-08-31,"Rochester","NY","Rochester","Monroe",104,64300,0.00155763239875389,0.0110062893081761,0.0523731587561375,0.0115898343025644,0.0105393767235631,"2015-08","2015-Q3",64300,0,"2015-08"
2015-08-31,"Greenville","SC","Greenville","Greenville",105,134400,0.00223713646532438,0.0120481927710843,0.0346420323325635,0.0159107001273029,0.0171350529519534,"2015-08","2015-Q3",134400,0,"2015-08"
2015-08-31,"Gilbert","AZ","Phoenix","Maricopa",106,270500,0.00520252694165738,0.015771686068344,0.0480433940333204,0.0737708528961591,-0.0147700729333086,"2006-03","2006-Q1",343300,-0.212059423244975,"2005-05"
2015-08-31,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",107,289000,0.00767085076708508,0.0332499106185198,0.0951117847669572,0.0573281915142223,-0.025609576515212,"2006-03","2006-Q1",398600,-0.274962368289012,"2004-10"
2015-08-31,"Arlington","VA","Washington","Arlington",108,620500,-0.00160901045856798,-0.00385294589821801,0.0050210560414642,0.0358517211282732,0.00900402860172234,"2015-03","2015-Q1",625000,-0.0072,"2015-01"
2015-08-31,"Richmond","VA","Richmond","Richmond City",109,145300,0.00762829403606103,0.0225193525686137,0.0283085633404105,0.00832507676603211,0.0125206652315057,"2008-03","2008-Q1",153200,-0.0515665796344648,"2006-08"
2015-08-31,"Ocala","FL","Ocala","Marion",110,99800,0.00503524672708963,0.0194075587334014,0.0662393162393162,0.0172952426177464,-0.0369989629884632,"2006-07","2006-Q3",173000,-0.423121387283237,"2004-07"
2015-08-31,"Irvine","CA","Los Angeles","Orange",111,733100,0.00424657534246575,0.00410902616079989,-0.0162372517444981,0.0300907464912765,-0.000895856517158067,"2006-04","2006-Q2",786200,-0.0675400661409311,"2005-07"
2015-08-31,"Spokane","WA","Spokane","Spokane",112,139100,0.00578452639190166,0.0197947214076246,0.0791311093871218,0.00615070552560382,0.0105029969869757,"2007-05","2007-Q2",152100,-0.0854700854700855,"2006-05"
2015-08-31,"Des Moines","IA","Des Moines","Polk",113,111800,0.00359066427289048,0.0117647058823529,0.0238095238095238,0.0090038414383391,0.00217242337299761,"2007-08","2007-Q3",114700,-0.025283347863993,"2006-08"
2015-08-31,"Oceanside","CA","San Diego","San Diego",114,432900,0.00301204819277108,0.00627615062761506,0.0525164113785558,0.0573255782334066,-0.0124946541095926,"2006-04","2006-Q2",504200,-0.14141213804046,"2004-07"
2015-08-31,"Gainesville","FL","Gainesville","Alachua",115,143400,0.00490539593552908,0.0163004961020553,0.0622222222222222,-0.00882690746502734,-0.017448542764623,"2006-11","2006-Q4",194200,-0.261585993820803,"2004-08"
2015-08-31,"Tacoma","WA","Seattle","Pierce",116,200600,0.00956215400100654,0.034020618556701,0.0819848975188781,0.0184237458090029,-0.00206995644292229,"2007-05","2007-Q2",242900,-0.174145738987238,"2005-07"
2015-08-31,"Akron","OH","Akron","Summit",117,61100,0.00163934426229508,-0.0032626427406199,-0.0113268608414239,-0.0141122414039568,-0.0293466952609465,"2005-08","2005-Q3",82300,-0.257594167679222,"1997-08"
2015-08-31,"Augusta","GA","Augusta","Richmond",118,79200,0.0050761421319797,0.0179948586118252,0.0393700787401575,-0.0163392419841767,-0.00680863985850544,"2007-12","2007-Q4",91600,-0.135371179039301,"2004-02"
2015-08-31,"Woodbridge","VA","Washington","Prince William",119,279000,0.00143575017946877,0.00576784426820476,0.0253583241455347,0.044425752177033,-0.0308054438362627,"2006-01","2006-Q1",395300,-0.294206931444473,"2004-07"
2015-08-31,"Huntington Beach","CA","Los Angeles","Orange",120,698500,0.00301550832854681,0.00344778049130872,0.03023598820059,0.0343038926213957,-0.00452388355143629,"2006-05","2006-Q2",786200,-0.111549224116001,"2005-05"
2015-08-31,"Boise","ID","Boise City","Ada",121,182600,0.00274574409665019,0.0144444444444444,0.0476190476190476,0.0464718635575716,0.0160643552503164,"2007-05","2007-Q2",216500,-0.156581986143187,"2006-03"
2015-08-31,"Glendale","CA","Los Angeles","Los Angeles",122,693900,0.003470715835141,0.0124015173621243,0.0695129469790382,0.0453083490268054,0.0054181450108477,"2006-07","2006-Q3",698800,-0.00701202060675444,"2006-02"
2015-08-31,"Moreno Valley","CA","Riverside","Riverside",123,255400,0.00353634577603143,0.0118858954041204,0.062396006655574,0.108348585030466,-0.0285768242186661,"2006-07","2006-Q3",384800,-0.336278586278586,"2004-06"
2015-08-31,"Aurora","IL","Chicago","Kane",124,149900,0.00267558528428094,0.0142083897158322,0.0373702422145329,-0.00794578445962468,-0.02155690552581,"2007-05","2007-Q2",197700,-0.241780475467881,"2002-01"
2015-08-31,"Rockford","IL","Rockford","Winnebago",125,75400,0.00265957446808511,0.00265957446808511,0.0107238605898123,-0.0508874177537255,-0.0290003277057772,"2007-07","2007-Q3",112100,-0.327386262265834,"1998-07"
2015-08-31,"Little Rock","AR","Little Rock","Pulaski",126,125100,-0.000798722044728434,-0.00239234449760766,-0.00398089171974522,-0.0047283443030286,0.00706122808489051,"2009-11","2009-Q4",129800,-0.0362095531587057,"2006-12"
